name,facility_type,prefecture,city,address,postal_code,latitude,longitude,osm_type,osm_id,website
陸上競技場,陸上競技場・トラック,岩手県,,,,39.7388089,141.1210823,way,51806168,
陸上トラック,陸上競技場・トラック,岩手県,,,,39.6848374,141.112958,way,374551743,
陸上競技場,陸上競技場・トラック,岩手県,,,,40.2016934,141.2924285,way,426305033,
盛岡市渋民運動公園陸上競技場,陸上競技場・トラック,岩手県,,,,39.8511721,141.1671281,way,585161933,
金ケ崎町森山総合公園 陸上競技場,陸上競技場・トラック,岩手県,,,,39.210214,141.0925115,way,620654179,
北上第1運動場 (投てき場),陸上競技場・トラック,岩手県,,,,39.2575358,141.0935259,way,675485275,
旧貝沢小学校グラウンド,陸上競技場・トラック,岩手県,,,,39.5479811,140.8440715,way,741748741,
サンディスクスタジアムきたかみ (北上陸上競技場),陸上競技場・トラック,岩手県,北上市,北上市,,39.2581444,141.0959764,way,1321827614,
北上補助陸上競技場,陸上競技場・トラック,岩手県,,,,39.2582557,141.0980315,way,1321827670,
北上市民岩崎陸上競技場,陸上競技場・トラック,岩手県,北上市,北上市 18地割,,39.2804205,141.0424115,way,1528982513,
宮城県自転車競技場,陸上競技場・トラック,宮城県,,,,38.4241062,140.865102,node,5861325205,
キューアンドエースタジアムみやぎ,競技場,宮城県,,,,38.3353798,140.9502898,way,103894920,
校庭,陸上競技場・トラック,宮城県,,,,38.3281963,140.9234977,way,290834236,
グラウンド,陸上競技場・トラック,宮城県,,,,38.2757663,140.7533117,way,294181526,
青葉山グラウンド,陸上競技場・トラック,宮城県,,,,38.2564002,140.8366708,way,345485431,
岩沼市陸上競技場,陸上競技場・トラック,宮城県,,,,38.1058669,140.8756257,way,443783722,
東北学院総合運動場 ベガルタ仙台フィールド,陸上競技場・トラック,宮城県,,,,38.3272705,140.9029201,way,866619185,
陶芸の里スポーツ公園陸上競技場,陸上競技場・トラック,宮城県,,,,38.6138407,140.7485275,way,1008816679,
築館総合運動公園 陸上競技場,陸上競技場・トラック,宮城県,,,,38.7225852,141.0099166,way,1049846862,
栗駒陸上競技場 サンスポーツランド栗駒,陸上競技場・トラック,宮城県,,,,38.8385623,141.0034927,way,1061881497,
市民陸上競技場,陸上競技場・トラック,宮城県,,,,38.1592094,140.8665503,relation,16233175,
ペースメーカー,陸上競技場・トラック,宮城県,,,,38.3201583,140.8779121,relation,17323583,
鷹巣陸上競技場,陸上競技場・トラック,秋田県,,,,40.234299,140.3572023,node,7057465751,
本荘南中学校グラウンド,陸上競技場・トラック,秋田県,,,,39.3835156,140.0358579,way,247833114,
秋田県立中央公園陸上競技場,陸上競技場・トラック,秋田県,,,,39.6237947,140.2061904,way,341477940,
フィールドアスレチック,陸上競技場・トラック,秋田県,,,,39.6214705,140.2269791,way,373724960,
補助陸上競技場,陸上競技場・トラック,秋田県,,,,39.6232417,140.2087108,way,373746779,
フィールドアスレチック,陸上競技場・トラック,秋田県,,,,39.6210264,140.2306932,way,373755558,
秋田県立新屋運動広場,陸上競技場・トラック,秋田県,,,,39.675396,140.0993156,way,496270760,
グラウンド,陸上競技場・トラック,秋田県,,,,39.7113135,140.1560586,way,582461857,
