name,prefecture,city,website_url,latitude,longitude,source,source_id,wikipedia_title,discontinued
岡崎市民駅伝競走大会,愛知県,,,,,wikipedia,Q24872308,岡崎市民駅伝競走大会,0
嶺南駅伝,福井県,,,,,wikipedia,Q48743982,嶺南駅伝,0
延岡西日本マラソン,宮崎県,,,,,wikipedia,Q11486559,延岡西日本マラソン,0
彩の国実業団駅伝大会,埼玉県,,,,,wikipedia,,彩の国実業団駅伝大会,0
徳島駅伝,徳島県,,,,,wikipedia,Q11490243,徳島駅伝,0
愛媛マラソン,愛媛県,,,,,wikipedia,Q11493520,愛媛マラソン,0
愛知県市町村対抗駅伝競走大会,愛知県,,,,,wikipedia,Q11494122,愛知県市町村対抗駅伝競走大会,0
新宿シティハーフマラソン,東京都,,,,,wikipedia,Q24873407,新宿シティハーフマラソン,0
新春スポーツスペシャル箱根駅伝,宮城県,,http://www.ntv.co.jp/hakone/,,,wikipedia,Q11502485,新春スポーツスペシャル箱根駅伝,0
新潟シティマラソン,新潟県,,,,,wikipedia,Q18337649,新潟シティマラソン,0
日光いろは坂女子駅伝大会,栃木県,,,,,wikipedia,Q22119876,日光いろは坂女子駅伝大会,1
日本車いすマラソン大阪大会,大阪府,,,,,wikipedia,Q11509195,日本車いすマラソン大阪大会,1
日立さくらロードレース,茨城県,,,,,wikipedia,Q11509966,日立さくらロードレース,0
星の郷八ヶ岳野辺山高原100kmウルトラマラソン,長野県,,,,,wikipedia,Q11512754,星の郷八ヶ岳野辺山高原100kmウルトラマラソン,0
春の高校伊那駅伝,長野県,,,,,wikipedia,,春の高校伊那駅伝,0
最上川S-mailマラソン,山形県,,,,,wikipedia,,最上川S-mailマラソン,0
最上川ふれあいマラソン大会,,,,,,wikipedia,,最上川ふれあいマラソン大会,0
月山龍神マラソン,愛知県,,,,,wikipedia,,月山龍神マラソン,0
朝日駅伝,福岡県,,,,,wikipedia,Q11517616,朝日駅伝,1
村岡ダブルフルウルトラランニング,兵庫県,,,,,wikipedia,Q30933958,村岡ダブルフルウルトラランニング,0
東京シティロードレース,東京都,,,,,wikipedia,Q11524162,東京シティロードレース,1
東京マラソン,東京都,,https://www.ntv.co.jp/tokyomarathon/,35.6894,139.6917,wikipedia,Q1191380,東京マラソン,0
東京マラソン財団,東京都,,,,,wikipedia,,東京マラソン財団,0
東京レガシーハーフマラソン,,,,,,wikipedia,,東京レガシーハーフマラソン,0
東京国際マラソン,東京都,,,,,wikipedia,Q1460484,東京国際マラソン,1
東京国際女子マラソン,東京都,,,,,wikipedia,Q1476232,東京国際女子マラソン,1
東京国際駅伝,東京都,,,,,wikipedia,Q11524624,東京国際駅伝,1
東京箱根間往復大学駅伝競走,東京都,,https://www.hakone-ekiden.jp/,,,wikipedia,Q5640597,東京箱根間往復大学駅伝競走,0
東京都高等学校定時制通信制駅伝兼ロードレース大会,,,,,,wikipedia,Q24875667,東京都高等学校定時制通信制駅伝兼ロードレース大会,0
東北・みやぎ復興マラソン,宮城県,,,,,wikipedia,,東北・みやぎ復興マラソン,0
東日本女子駅伝,福島県,,https://www.fukushima-tv.co.jp/ekiden39/,,,wikipedia,Q11527178,東日本女子駅伝,1
東日本実業団対抗女子駅伝競走大会,埼玉県,,,,,wikipedia,Q11527180,東日本実業団対抗女子駅伝競走大会,1
東日本実業団対抗駅伝競走大会,埼玉県,,https://www.tbs.co.jp/sports/athletics/hnj-ekiden/,,,wikipedia,Q11487974,東日本実業団対抗駅伝競走大会,0
東日本縦断駅伝,,,,,,wikipedia,Q11527206,東日本縦断駅伝,1
東海道駅伝,東京都,,,,,wikipedia,Q21653699,東海道駅伝,0
東葛飾地方中学校駅伝競走大会,千葉県,,,,,wikipedia,Q11528298,東葛飾地方中学校駅伝競走大会,0
松島ハーフマラソン大会,宮城県,,,,,wikipedia,Q22124325,松島ハーフマラソン大会,1
果樹王国ひがしね さくらんぼマラソン大会,山形県,,,,,wikipedia,Q65271573,果樹王国ひがしね さくらんぼマラソン大会,0
栃木県郡市町対抗駅伝競走大会,栃木県,,,,,wikipedia,Q24873960,栃木県郡市町対抗駅伝競走大会,0
桐生市堀マラソン大会,群馬県,,,,,wikipedia,Q30933121,桐生市堀マラソン大会,0
横浜マラソン,神奈川県,,https://yokohamamarathon.jp/,,,wikipedia,Q17209726,横浜マラソン,0
横浜国際女子マラソン,神奈川県,,http://www.yokohamawomensmarathon.com/,,,wikipedia,Q1571193,横浜国際女子マラソン,1
